round,timestamp,timesteps,source,val_sharpe,val_mdd_pct,val_cagr_pct,val_constraints_met,backtest_sharpe,backtest_mdd_pct,backtest_return_pct,backtest_cagr_pct,backtest_trade_count,backtest_constraints_met,notes
1,2026-04-12 21:33:49,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=9daf8300
2,2026-04-12 21:55:53,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=a1cef286
3,2026-04-12 22:18:42,50000,trained,0.952,-9.97,0.0,False,0.952,-9.97,123.13,123.13,0,False,run_id=01b77535
4,2026-04-13 20:09:25,50000,trained,0.952,-9.97,0.0,False,0.952,-9.97,123.13,123.13,0,False,run_id=80c105eb
5,2026-04-15 15:05:21,50000,trained,0.952,-9.97,0.0,False,0.952,-9.97,123.13,123.13,0,False,run_id=dea37884
6,2026-04-15 15:14:19,50000,trained,0.952,-9.97,0.0,False,0.952,-9.97,123.13,123.13,0,False,run_id=ca20fbf2
7,2026-04-15 15:23:53,50000,trained,0.952,-9.97,0.0,False,0.952,-9.97,123.13,123.13,0,False,run_id=67881b84
8,2026-04-17 07:28:35,50000,trained,0.952,-9.97,0.0,False,0.952,-9.97,123.13,123.13,0,False,run_id=ecc357a5
9,2026-04-17 12:51:10,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=66c93e17
10,2026-04-17 12:59:12,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=77b26625
11,2026-04-17 13:04:13,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=69e865c4
12,2026-04-17 15:58:43,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=6d474289
13,2026-04-17 16:24:23,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=c539e9c0
14,2026-04-17 16:28:50,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=6e0d6ea2
15,2026-04-17 16:40:40,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=b81677b6
16,2026-04-17 17:20:33,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=f00d51c8
17,2026-04-17 17:27:47,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=3b2fbe94
18,2026-04-17 17:31:46,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=ed6476bd
19,2026-04-17 17:33:32,1000,trained,1.42,-12.0,0.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=2bb0de8c
20,2026-04-18 18:04:19,100000,trained,-0.459,-8.11,0.0,False,-0.459,-8.11,25.72,25.72,0,False,run_id=b95b97f2
21,2026-04-25 09:48:46,1000,trained,1.42,-12.0,28.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=8ca29edb
22,2026-06-09 19:50:14,1000,trained,1.42,-12.0,28.0,False,1.42,-12.0,28.0,28.0,0,False,run_id=e655aac0
23,2026-07-05 08:06:22,100000,trained,1.039,-8.96,121.71,True,1.039,-8.96,121.71,121.71,631,True,run_id=d8880f2a
